mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-341.5;33.63;935.77;2195.32;3135.3;6261.71;238;241;352;0;8;0;Driving
-360.77;54.73;924.63;1369.18;1840.46;1906.9;165;182;150;0;10;0;Driving
-378.0;53.73;921.23;772.33;3654.26;1782.91;121;249;190;0;5;0;Driving
-389.87;44.1;926.4;858.92;1825.82;2041.57;104;169;166;0;7;0;Driving
-381.13;24.03;912.53;867.05;1692.1;3119.12;122;159;221;0;14;0;Driving
-397.0;26.73;920.97;1050.13;1897.46;3238.17;131;191;227;0;10;0;Driving
-396.93;30.47;910.57;1024.0;2462.12;2710.51;132;209;215;0;11;0;Driving
-451.9;13.33;894.27;1747.09;3930.56;3104.6;154;271;226;0;14;0;Driving
-444.63;14.9;902.23;1756.1;5856.76;10545.91;190;297;573;0;14;0;Driving
-499.43;-17.07;871.13;4823.65;4827.86;2060.45;264;351;188;0;10;0;Driving
-451.6;33.23;896.1;3289.97;4113.78;1701.62;201;356;204;0;7;0;Driving
-425.93;8.4;908.0;1042.73;2296.64;3164.8;140;232;248;0;15;0;Driving
-384.7;31.17;923.17;1790.68;2527.14;4174.27;166;185;244;0;11;0;Driving
-383.4;27.97;922.07;1442.44;3846.63;1250.0;145;228;152;0;12;0;Driving
-394.33;22.4;920.2;2266.62;2710.91;1926.16;223;200;168;0;10;0;Driving
-353.43;16.3;940.3;1313.18;4003.08;1887.28;148;225;197;0;13;0;Driving
-364.47;23.4;943.8;1283.12;3143.37;2442.89;151;215;210;0;16;0;Driving
-363.97;55.87;921.17;681.83;5013.25;3479.94;104;290;203;0;7;0;Driving
-367.43;40.77;926.43;733.11;2780.18;1513.98;130;254;129;0;10;0;Driving
-381.27;38.27;926.6;1782.8;4801.33;3406.04;166;274;223;0;17;0;Driving
-416.87;47.0;915.83;623.52;2191.87;1667.81;94;184;177;0;11;0;Driving
-386.97;33.8;925.37;422.17;1950.69;1642.5;91;177;161;0;7;0;Driving
-380.2;25.87;923.33;553.43;2374.32;2060.42;94;218;177;0;12;0;Driving
-411.93;27.7;922.07;443.0;2896.68;1388.66;88;243;132;0;9;0;Driving
-419.9;11.4;907.97;1058.49;2403.71;1814.43;128;218;172;0;10;0;Driving
-494.17;-13.7;881.17;2196.01;7887.48;1186.74;183;324;133;0;15;0;Driving
-453.27;-26.3;903.63;7352.66;5588.08;3893.77;335;322;279;0;10;0;Driving
-345.53;-156.67;940.1;1889.05;1022.82;4899.82;203;119;292;0;0;0;Driving
-396.07;-39.67;906.53;645.06;5602.96;2001.78;101;330;163;0;4;0;Driving
-447.0;175.83;886.87;350.53;2518.01;671.65;73;184;119;0;0;0;Driving
-459.07;222.63;881.5;563.53;418.63;696.25;88;91;128;0;0;0;Driving
-383.03;240.27;903.5;2553.37;1676.53;797.52;190;188;103;0;0;0;Driving
-384.87;79.7;927.53;920.72;4794.61;429.38;144;229;113;0;4;0;Driving
-299.73;-72.77;957.33;1348.46;6177.05;802.02;136;381;119;0;7;0;Driving
-249.9;-141.47;977.1;3096.29;4275.25;894.49;201;247;138;0;0;0;Driving
-252.97;18.77;972.87;1922.97;11434.51;4084.52;207;605;307;0;11;0;Driving
-312.7;50.67;959.73;1979.81;4250.09;1635.86;169;352;183;0;11;0;Driving
-354.1;43.57;938.73;3320.49;3407.31;1176.86;238;218;137;0;9;0;Driving
-311.87;43.57;957.63;905.78;7755.91;2119.3;132;320;197;0;10;0;Driving
-302.1;21.17;954.93;629.42;3458.81;2137.6;80;268;221;0;15;0;Driving
-301.07;16.37;963.17;289.6;2077.37;1377.94;68;220;152;0;11;0;Driving
-316.67;105.1;940.63;525.29;3052.96;1504.83;93;232;142;0;0;0;Driving
-352.5;51.3;938.73;2533.78;4313.94;2396.53;200;323;166;0;12;0;Driving
-283.0;55.13;962.63;2059.6;3242.98;7052.23;160;232;289;0;10;0;Driving
-271.97;58.27;958.67;539.37;1923.93;3083.76;113;166;216;0;4;0;Driving
-313.93;44.3;947.2;287.2;1643.01;1282.49;72;162;157;0;9;0;Driving
-331.67;48.47;950.0;394.76;1626.45;505.33;79;151;75;0;8;0;Driving
-334.57;27.97;936.63;485.31;1791.9;1103.97;79;140;130;0;12;0;Driving
-339.43;27.43;942.53;374.58;1890.25;924.52;73;173;109;0;12;0;Driving
-339.93;31.2;937.43;389.66;2038.16;668.18;87;208;110;0;8;0;Driving
-336.17;18.7;936.5;441.61;903.08;1075.98;86;133;135;0;12;0;Driving
-326.57;43.53;940.87;265.78;1117.72;1430.05;64;143;152;0;6;0;Driving
-321.7;48.37;936.17;612.34;5243.1;4073.27;111;362;317;0;9;0;Driving
-324.17;27.07;944.33;795.34;3178.33;3923.09;113;269;278;0;16;0;Driving
-351.93;34.33;936.13;1650.8;1833.16;2386.78;176;191;183;0;11;0;Driving
-406.67;44.77;921.7;1512.22;1686.25;4888.01;148;159;280;0;8;0;Driving
-364.6;46.93;935.97;529.11;2335.4;2225.37;89;230;188;0;3;0;Driving
-342.77;36.4;939.07;270.05;2303.11;1357.33;74;225;175;0;10;0;Driving
-341.3;29.3;945.9;913.81;2720.54;1024.62;155;205;129;0;14;0;Driving
-340.77;39.97;929.8;833.58;4006.1;2717.96;128;314;247;0;9;0;Driving
-349.23;68.97;941.5;428.18;3463.3;3164.05;81;251;237;0;6;0;Driving
